0.000,1.548,1.119,0.630
0.043,1.549,1.120,0.675
0.085,1.643,1.180,0.718
0.128,1.603,1.382,0.773
0.170,1.644,1.378,0.838
0.213,1.556,1.579,0.907
0.255,1.652,1.599,0.964
0.298,1.648,1.639,0.988
0.340,1.573,1.537,0.968
0.383,1.572,1.465,0.924
0.426,1.478,1.420,0.889
0.468,1.390,1.254,0.833
0.511,1.311,1.143,0.824
0.553,1.256,1.129,0.849
0.596,1.210,1.114,0.904
0.638,1.153,1.132,0.963
0.681,1.123,1.143,1.042
0.723,1.124,1.225,1.109
0.766,1.099,1.280,1.149
0.808,1.077,1.310,1.163
0.851,1.088,1.291,1.158
0.894,1.101,1.276,1.146
0.936,1.122,1.310,1.151
0.979,1.165,1.360,1.149
1.021,1.237,1.415,1.128
1.064,1.338,1.461,1.083
1.106,1.453,1.488,1.024
1.149,1.554,1.491,0.965
1.191,1.612,1.475,0.922
1.234,1.609,1.447,0.905
1.277,1.544,1.419,0.923
1.319,1.436,1.402,0.979
1.362,1.319,1.406,1.067
1.404,1.224,1.437,1.173
1.447,1.177,1.496,1.267
1.489,1.187,1.577,1.324
1.532,1.247,1.677,1.339
1.574,1.341,1.787,1.329
1.617,1.445,1.900,1.317
1.660,1.536,2.003,1.316
1.702,1.597,2.075,1.319
1.745,1.620,2.090,1.315
1.787,1.605,2.032,1.293
1.830,1.559,1.898,1.247
1.872,1.491,1.708,1.174
1.915,1.410,1.489,1.079
1.957,1.329,1.274,0.971
2.000,1.256,1.376,0.873
2.043,1.302,1.469,0.871
2.085,1.348,1.480,0.851
2.128,1.284,1.551,0.876
2.170,1.316,1.560,0.919
2.213,1.345,1.560,0.968
2.255,1.312,1.521,1.006
2.298,1.307,1.545,1.039
2.340,1.238,1.505,1.013
2.383,1.211,1.426,0.933
2.425,1.290,1.236,0.846
2.468,1.261,1.184,0.768
2.511,1.186,1.160,0.735
2.553,1.085,0.998,0.715
2.596,1.012,0.819,0.711
2.638,0.811,0.747,0.760
2.681,NaN,NaN,NaN
2.723,NaN,NaN,NaN
2.766,NaN,NaN,NaN
2.808,NaN,NaN,NaN
2.851,NaN,NaN,NaN
2.894,NaN,NaN,NaN
